group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
0,2019-06-02,22:07:02,153.75,154.0625,153.71875,154.03125,288,44333.21875,153.93478732638889,,,154.03125,154.03125,0.0,,,,,,0,0,,,,,0.0,0.0,0.2727931097101266,-0.4674205891246751,-0.0,,,,,,,,,0,2385822257168,0.0,,,,,,,,,
1,2019-06-02,22:21:33,154.0625,154.125,154.0,154.125,288,44365.8125,154.04796006944446,0.09375,0.0006084575788571911,154.083984375,154.07885742187497,0.005126953125028422,,,,,,-1,1,,,,,0.0,0.0,0.2727931097101266,-0.4674205891246751,-0.0,,,-0.0,-1.0,,0.0,0.0,93.75,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2019-06-02,22:34:44,154.125,154.21875,154.09375,154.09375,289,44547.96875,154.1452205882353,-0.03125,-0.00020277806010859933,154.0880829015544,154.08397754089017,0.0041053606642265095,,,,,,0,2,,,,,0.0,0.0,0.2727931097101266,-0.4674205891246751,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,62.5,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-06-02,22:58:41,154.09375,154.28125,154.0625,154.15625,288,44408.375,154.19574652777777,0.0625,0.0004055150096125004,154.11197415865385,154.102901280901,0.009072877752856812,1.0000000000000002,0.009765625,1.0500000000000007,-1.1858541225631423,0.009765624999999998,-1,3,,,0.09882117688026185,0.9181106762015291,0.9181106762015291,0.0,0.2727931097101266,-0.3670989435069175,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,125.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4,2019-06-02,23:32:11,154.15625,154.15625,153.96875,154.0,288,44362.21875,154.03548177083334,-0.15625,-0.0010140960203823823,154.07719065148433,154.08101498352298,-0.0038243320386470714,1.0000000000000004,0.00712890625,2.021017076374554,-1.3385038869326558,0.007128906249999998,0,4,,,0.08443285053816434,-0.4529436130926839,0.0,-0.4529436130926839,0.22053360241820497,-0.4674205891246751,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,-31.25,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-06-02,23:58:19,154.0,154.09375,153.96875,154.03125,288,44361.375,154.03255208333334,0.03125,0.00020290149202129015,154.064078993794,154.0720595582233,-0.007980564429288961,1.0000000000000002,0.00751953125,0.12987012987012747,-0.9266785330582887,0.0075195312499999984,-1,5,,,0.08671523078444754,-0.9203186518786598,0.0,-0.9203186518786598,0.16660903313081354,-0.4674205891246751,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
6,2019-06-03,00:22:49,154.0625,154.0625,153.96875,154.03125,289,44510.71875,154.0163278546713,0.0,0.0,154.05526626523644,154.0656690668859,-0.01040280164946239,1.0000000000000007,0.005566406250000001,1.0987996306555867,-1.2639100390556421,0.0055664062499999984,0,6,,,0.07460835241445825,-1.394321320979398,0.0,-1.394321320979398,0.11191978434524441,-0.4674205891246751,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,0.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
7,2019-06-03,00:54:21,154.03125,154.09375,153.96875,153.96875,288,44360.4375,154.029296875,-0.0625,-0.0004058441614143149,154.03306759013483,154.0521884065579,-0.01912081642305452,1.0000000000000007,0.00146484375,2.0000000000000013,-1.3608276348795436,0.0014648437499999991,0,7,,,0.03827327723098715,-4.995865994870635,0.0,-4.995865994870635,-0.30361748057449933,-0.4674205891246751,-1.0,,,-0.0,-1.0,-0.0,0.0,0.0,-62.5,0,0,-0.0,-0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
8,2019-06-03,01:17:19,153.96875,154.09375,153.96875,153.96875,288,44362.96875,154.0380859375,0.0,0.0,154.0171129629346,154.04171707974226,-0.024604116807665832,1.0000000000000004,0.0017578124999999998,-2.4074074074074083,-0.1656346649999846,0.0017578124999999987,0,8,,,0.041926274578121044,-5.868424288883833,0.0,-5.868424288883833,-0.4042910858766202,-0.4674205891246751,-1.0,,,-1.0,-1.0,-0.0,0.0,0.0,-62.5,0,0,-1.0,-0.0,-0.0,0.0,0.0,1.0,2.5,-2.5,-2.5,0.0
9,2019-06-03,01:32:22,153.96875,154.0,153.9375,154.0,289,44497.96875,153.97221020761245,0.03125,0.00020294266939302474,154.0129748400795,154.03693470938242,-0.023959869302927927,1.0000000000000004,0.003125,-2.32421875,0.052407843222651435,0.003124999999999999,-1,9,,,0.055901699437494734,-4.2860717194685884,0.0,-4.2860717194685884,-0.2217231828320843,-0.4674205891246751,-1.0,,,-1.0,-1.0,-1.0,1.0,1.0,31.25,0,0,-1.0,-1.0,-31.25,-31.25,0.0,0.0,2.5,-33.75,-31.25,-2.5
