ClientAccountID,AccountAlias,Model,CurrencyPrimary,AssetClass,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,TransactionType,TradeID,OrderID,ExecID,BrokerageOrderID,OrderReference,VolatilityOrderLink,ClearingFirmID,OrigTradePrice,OrigTradeDate,OrigTradeID,OrderTime,Date/Time,ReportDate,SettleDate,TradeDate,Exchange,Buy/Sell,Quantity,Price,Amount,Proceeds,Commission,BrokerExecutionCommission,BrokerClearingCommission,ThirdPartyExecutionCommission,ThirdPartyClearingCommission,ThirdPartyRegulatoryCommission,OtherCommission,CommissionCurrency,Tax,Code,OrderType,LevelOfDetail,TraderID,IsAPIOrder,AllocatedTo,AccruedInterest
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221146162,171323357,0000e1a7.5d49faa6.01.01,0041e7dd.0000ff2f.5d490979.0001,,,,0,,,20190806;184100,20190806;184132,20190807,20190808,20190807,ECBOT,BUY,2,161.65625,323312.5,-323312.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221147720,171324180,0000e1a7.5d4a0147.01.01,0041e7dd.0000ff2f.5d490983.0001,,,,0,,,20190806;195333,20190806;195333,20190807,20190808,20190807,ECBOT,BUY,2,162,324000,-324000,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221149568,171325181,0000e1a7.5d4a0893.01.01,0041e7dd.0000ff2f.5d49098f.0001,,,,0,,,20190806;203215,20190806;203215,20190807,20190808,20190807,ECBOT,BUY,2,162.3125,324625,-324625,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221153833,171328140,0000e1a7.5d4a1633.01.01,0041e7dd.0000ff2f.5d4909a8.0001,,,,0,,,20190806;220933,20190806;220933,20190807,20190808,20190807,ECBOT,BUY,3,162.21875,486656.25,-486656.25,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221153835,171328140,0000e1a7.5d4a1632.01.01,0041e7dd.0000ff2f.5d4909a8.0001,,,,0,,,20190806;220933,20190806;220933,20190807,20190808,20190807,ECBOT,BUY,3,162.21875,486656.25,-486656.25,-5.01,-2.55,0,-2.4,0,-0.06,0,USD,0,C;P,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221155156,171329017,0000e1a7.5d4a19d9.01.01,0041e7dd.0000ff2f.5d4909b3.0001,,,,0,,,20190806;224350,20190806;224350,20190807,20190808,20190807,ECBOT,BUY,4,162.28125,649125,-649125,-6.68,-3.4,0,-3.2,0,-0.08,0,USD,0,C,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221156455,171329799,0000e1a7.5d4a1df5.01.01,0041e7dd.0000ff2f.5d4909bc.0001,,,,0,,,20190806;231811,20190806;231827,20190807,20190808,20190807,ECBOT,BUY,2,162.53125,325062.5,-325062.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221188353,171353768,0000e1a7.5d4a74ab.01.01,0041e7dd.0000ff2f.5d4a577e.0001,,,,0,,,20190807;094721,20190807;094721,20190807,20190808,20190807,ECBOT,BUY,2,163.90625,327812.5,-327812.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221188759,171354078,0000e1a7.5d4a761b.01.01,0041e7dd.0000ff2f.5d4a5790.0001,,,,0,,,20190807;094930,20190807;094930,20190807,20190808,20190807,ECBOT,BUY,2,163.65625,327312.5,-327312.5,-3.34,-1.7,0,-1.6,0,-0.04,0,USD,0,O,LMT,EXECUTION,,Y,,0
DU1439783,,,USD,FUT,ZB   SEP 19,ZB 19SEP19,346233386,,,,,,11078381,ZB,,,,1000,,20190919,,,ExchTrade,221277330,171410691,0000e1a7.5d4bac7a.01.01,0041e7dd.0000ff2f.5d4ba4f2.0001,,,,0,,,20190808;033752,20190808;033804,20190808,20190809,20190808,ECBOT,BUY,6,161.25,967500,-967500,-10.02,-5.1,0,-4.8,0,-0.12,0,USD,0,C,LMT,EXECUTION,,Y,,0
