group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
0,2019-05-14,16:34:02,146.625,149.03125,145.625,148.53125,334,49356.4375,147.7737649700599,,,148.53125,148.53125,0.0,,,,,,0,0,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,,,,,,,0,2083552628784,0.0,,,,,,,,,
1,2019-05-17,13:44:35,148.53125,149.46875,148.46875,149.15625,331,49373.21875,149.16380287009062,0.625,0.00419904039188701,148.8828125,148.8486328125,0.0341796875,,,,,,-1,1,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,-0.0,-1.0,,0.0,0.0,625.0,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2019-05-22,07:56:37,149.125,149.1875,148.46875,148.71875,331,49258.6875,148.81778700906344,-0.4375,-0.0029374758847859894,148.813957253886,148.80397865977704,0.00997859410895785,,,,,,0,2,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,187.5,0,0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-05-22,12:27:17,148.71875,148.9375,148.5,148.9375,332,49370.90625,148.70754894578315,0.21875,0.0014698165375772732,148.85725661057694,148.83893973844238,0.018316872134562345,0.9999999999999998,0.14716796875,1.2189829457664711,-0.07313544666395347,0.14716796875,-1,3,,,0.3836247759855977,0.4774684348137621,0.4774684348137621,0.0,0.26792232089408385,-0.39552795951773434,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,406.25,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4,2019-05-22,13:49:40,148.9375,149.03125,148.78125,149.03125,332,49430.03125,148.88563629518072,0.09375,0.0006292606395366107,148.91130569101844,148.87984262649627,0.03146306452217118,1.0000000000000004,0.06806640625,3.1641447564783696,-1.7301909646550022,0.06806640624999999,-1,4,,,0.26089539330927247,1.2059647402387825,1.2059647402387825,0.0,0.26792232089408385,-0.3155432074670339,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,500.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
5,2019-05-22,14:29:11,149.03125,149.15625,149.0,149.03125,331,49338.0,149.05740181268882,0.0,0.0,148.94553830789383,148.90708904209308,0.038449265800750254,1.0000000000000013,0.0080078125,-1.543723973825087,0.3066279347281066,0.008007812499999989,0,5,,,0.08948638164547715,4.296661133654584,4.296661133654584,0.0,0.26792232089408385,0.023797682597096304,0.0,,,-0.0,-1.0,-0.0,0.0,0.0,500.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
6,2019-05-22,15:58:12,149.03125,149.1875,149.0,149.1875,331,49356.84375,149.11433157099697,0.15625,0.0010478886005511612,149.0104913407903,148.95099943650618,0.05949190428412976,1.000000000000002,0.0056640625,-0.9453032104637273,0.6013638196305304,0.0056640624999999886,-1,6,,,0.07525996611745177,7.9048539819013275,7.9048539819013275,0.0,0.26792232089408385,0.4199567408777702,1.0,,,0.0,-1.0,-0.0,0.0,0.0,656.25,0,0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0
7,2019-05-22,17:30:24,149.1875,149.28125,149.15625,149.21875,331,49386.9375,149.205249244713,0.03125,0.0002094460160551037,149.06392714618775,148.98824137986233,0.0756857663254209,1.000000000000001,0.011523437499999999,-2.038207411663316,0.6068929550675307,0.011523437499999989,-1,7,,,0.10734727523323537,7.05055309144802,7.05055309144802,0.0,0.26792232089408385,0.3261593607253278,1.0,,,1.0,-1.0,0.0,0.0,0.0,687.5,0,0,1.0,0.0,0.0,0.0,0.0,1.0,2.5,-2.5,-2.5,-0.0
8,2019-05-22,20:05:24,149.21875,149.21875,149.03125,149.1875,331,49364.75,149.1382175226586,-0.03125,-0.0002094460160551037,149.0945806394313,149.01324787529248,0.0813327641388355,1.0000000000000013,0.009765625,-1.2000000000000028,0.0,0.009765624999999988,0,8,,,0.09882117688026179,8.230297058431473,8.230297058431473,0.0,0.26792232089408385,0.45568854018688826,1.0,,,1.0,-1.0,1.0,1.0,1.0,-31.25,0,0,1.0,1.0,-31.25,-31.25,0.0,0.0,2.5,-33.75,-31.25,-2.5
9,2019-05-23,06:54:46,149.1875,149.4375,149.1875,149.40625,331,49425.96875,149.32316842900303,0.21875,0.0014652017273277806,149.1699460866151,149.0583009260853,0.11164516052980389,1.0000000000000009,0.014453125,-2.2817750182615035,0.06849707618747101,0.014453124999999987,-1,9,,,0.12022115038544585,9.286648827752343,9.286648827752343,0.0,0.26792232089408385,0.5716699579624444,1.0,,,1.0,-1.0,1.0,0.0,1.0,187.5,0,0,1.0,1.0,218.75,187.5,0.0,0.0,2.5,185.0,218.75,218.75
