group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
4072,2019-07-16,17:55:25,153.5625,153.6875,153.5625,153.59375,289,44398.78125,153.6290008650519,0.03125,0.00020347950014176774,153.58282402590314,153.57831691377683,0.004507112126304946,0.9999999999999979,0.00146484375,2.0000000000000013,-1.3608276348795436,0.001464843750000003,-1,4072,0.8398860354340116,0.21009786086443527,0.038273277230987196,1.177613325115481,1.177613325115481,0.0,0.2727931097101266,-0.33874317610758453,-0.0,-0.09840245079330238,-0.30850031165773767,-0.0,1.0,-0.0,0.0,711.0,-62.5,0,0,-0.0,-0.0,-0.0,15468.75,0.0,0.0,8190.0,7278.75,-0.0,-0.0
4073,2019-07-16,18:18:44,153.625,153.6875,153.59375,153.625,289,44398.90625,153.62943339100346,0.03125,0.00020343810465917045,153.59219646459132,153.57975331642987,0.0124431481614522,1.0000000000000013,0.00458984375,-0.7378904481665908,-0.9127170462413431,0.004589843749999994,-1,4073,0.6340939407257002,-0.09840245079330238,0.06774838558962121,1.8366708008107049,1.8366708008107049,0.0,0.2727931097101266,-0.2667281868124193,0.0,-0.42048620965491007,-0.32208375886160767,-0.0,1.0,-0.0,0.0,711.0,-31.25,0,0,-0.0,-0.0,-0.0,15468.75,0.0,0.0,8190.0,7278.75,-0.0,-0.0
4074,2019-07-16,18:33:03,153.65625,153.65625,153.59375,153.625,289,44397.40625,153.62424307958477,0.0,0.0,153.59948613912658,153.5811455220782,0.018340617048380636,0.9999999999999996,0.00537109375,3.3223140495867725,-1.7443694974549941,0.005371093750000003,0,4074,0.3442285753774225,-0.42048620965491007,0.0732877462472411,2.5025489235959504,2.5025489235959504,0.0,0.2727931097101266,-0.19396790769764305,0.0,-0.7065316801803827,-0.28604547052547263,0.0,1.0,-0.0,0.0,711.0,-31.25,0,0,0.0,-0.0,-0.0,15468.75,0.0,0.0,8190.0,7278.75,-0.0,-0.0
4075,2019-07-16,18:46:49,153.625,153.65625,153.46875,153.5,289,44383.375,153.5756920415225,-0.125,-0.0008140008589476722,153.57737810820956,153.5786487367835,-0.0012706285739341183,0.9999999999999996,0.00537109375,3.3223140495867725,-1.7443694974549941,0.005371093750000003,0,4075,0.0008129851701546606,-0.7065316801803827,0.0732877462472411,-0.17337531019818347,0.0,-0.17337531019818347,0.25278949772479287,-0.4674205891246751,-0.0,-0.8471352740728175,-0.14060359389243482,0.0,1.0,0.0,0.0,711.0,-156.25,0,0,0.0,0.0,-0.0,15468.75,-0.0,0.0,8190.0,7278.75,-0.0,-0.0
4076,2019-07-16,18:55:10,153.5,153.5625,153.46875,153.5625,289,44369.40625,153.52735726643598,0.0625,0.00040708325414673396,153.57407186194078,153.5781518525748,-0.00407999063401121,0.9999999999999996,0.00537109375,3.3223140495867725,-1.7443694974549941,0.005371093750000003,-1,4076,-0.22327460969319537,-0.8471352740728175,0.0732877462472411,-0.5567084325730375,0.0,-0.5567084325730375,0.20856147568204797,-0.4674205891246751,-0.0,-0.9424414454278138,-0.0953061713549963,-0.0,1.0,0.0,0.0,711.0,-93.75,0,0,-0.0,0.0,0.0,15468.75,0.0,0.0,8190.0,7278.75,0.0,0.0
4077,2019-07-16,18:59:33,153.5625,153.625,153.5625,153.59375,290,44538.53125,153.5811422413793,0.03125,0.00020347950014176774,153.57844478150952,153.5786317955725,-0.00018701406298760048,0.9999999999999991,0.005566406249999999,4.422899353647277,-2.042831342194585,0.0055664062500000045,-1,4077,-0.42997057013560763,-0.9424414454278138,0.07460835241445829,-0.02506610278011704,0.0,-0.02506610278011704,0.269901045128239,-0.4674205891246751,-0.0,-0.9999933120446394,-0.05755186661682554,-0.0,1.0,-0.0,0.0,711.0,-62.5,0,0,-0.0,-0.0,-0.0,15468.75,0.0,0.0,8190.0,7278.75,-0.0,-0.0
4078,2019-07-16,19:10:33,153.5625,153.65625,153.5625,153.625,289,44393.15625,153.60953719723184,0.03125,0.00020343810465917045,153.58879038561852,153.5800585095549,0.008731876063620803,0.9999999999999245,0.00019531250000000017,5.000000000000166,2.2360679774997756,0.00019531250000001492,-1,4078,-0.7045159482624632,-0.9999933120446394,0.01397542485937422,6.248021903794767,6.248021903794767,0.0,0.2727931097101266,0.2152986684682927,0.0,-0.9868552275165037,0.013138084528135696,-0.0,1.0,-0.0,0.0,711.0,-31.25,0,0,-0.0,-0.0,-0.0,15468.75,0.0,0.0,8190.0,7278.75,-0.0,-0.0
4079,2019-07-16,19:35:11,153.625,153.65625,153.59375,153.65625,289,44391.625,153.60423875432525,0.03125,0.00020339672601377146,153.60378141103664,153.5824028631071,0.021378547929543856,0.9999999999999788,0.0007812500000000005,4.999999999999967,2.236067977499787,0.0007812500000000171,-1,4079,-0.8120852922238531,-0.9868552275165037,0.027950849718747676,7.648621828911509,7.648621828911509,0.0,0.2727931097101266,0.3683417524689595,1.0,-0.9635875596193887,0.023267667897114985,0.0,1.0,-0.0,0.0,711.0,0.0,0,0,0.0,-0.0,-0.0,15468.75,1.0,0.0,8190.0,7278.75,-0.0,-0.0
4080,2019-07-16,19:55:52,153.65625,153.71875,153.59375,153.6875,289,44408.15625,153.6614403114187,0.03125,0.00020335536419846534,153.6223855419174,153.58563662116535,0.03674892075204639,0.999999999999987,0.001171875,2.916666666666662,1.2932338163316435,0.001171875000000015,-1,4080,-0.8704346992293716,-0.9635875596193887,0.0342326598440731,10.735046858594874,10.735046858594874,0.0,0.2727931097101266,0.7055943801529287,1.0,-0.95636523667634,0.007222322943048698,1.0,1.0,0.0,0.0,711.0,31.25,0,0,1.0,0.0,0.0,15468.75,0.0,1.0,8192.5,7276.25,-2.5,-0.0
4081,2019-07-16,20:14:44,153.6875,153.78125,153.65625,153.78125,289,44424.625,153.71842560553634,0.09375,0.000609818089840175,153.65768875482465,153.59165549436025,0.06603326046439406,0.9999999999999918,0.00263671875,-1.6872427983539187,0.5184205276797864,0.0026367187500000214,-1,4081,-0.8828504250617162,-0.95636523667634,0.051348989766109535,12.859700018475571,12.859700018475571,0.0,0.2727931097101266,0.9377545182400422,1.0,-0.9949189020747603,-0.03855366539842031,1.0,1.0,1.0,1.0,712.0,93.75,0,0,1.0,1.0,93.75,15562.5,0.0,0.0,8192.5,7370.0,93.75,93.75
