group,Date,Time,open,high,low,close,vol,transaction,vwap,dollar_returns,dollar_returns_log,ema_fast,ema_slow,EWMAC,periodCORR,periodCOV,periodKURT,periodSKEW,periodVAR,Target,bar,sine,leadsine,periodVolStd,VolAdjEMA,longs,shorts,shortFCs,longFCs,FCs,shifted_leadsine,diff_leadsine,position,trend_following,prev_position,new_trade,trade_number,IntraTrade_P_DD,position_stoploss_start,stop_loss,position_with_stoploss,prev_position_with_stoploss,PL,CumPL,Signals,Trades,commission,NetCumPL,NetPL,MaxEquity
0,2019-06-21,00:10:57,155.5625,155.65625,155.5625,155.625,317,49325.78125,155.6018335962145,,,155.625,155.625,0.0,,,,,,0,0,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,,,,,,,0,9221120237041090560,0.0,,,,,,,,,
1,2019-06-21,00:22:19,155.625,155.71875,155.625,155.6875,317,49341.53125,155.65151813880126,0.0625,0.0004015258034275604,155.66015625000003,155.65673828125,0.0034179687500284217,,,,,,-1,1,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,-0.0,-1.0,,0.0,0.0,62.5,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2019-06-21,00:40:56,155.6875,155.75,155.59375,155.71875,317,49342.875,155.6557570977918,0.03125,0.0002007024592787232,155.68474740932643,155.6780581210839,0.00668928824254067,,,,,,-1,2,,,,,0.0,0.0,0.26792232089408385,-0.4479512787387341,-0.0,,,-0.0,-1.0,-0.0,0.0,0.0,93.75,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3,2019-06-21,00:54:37,155.75,155.8125,155.71875,155.75,317,49377.03125,155.76350552050474,0.03125,0.00020066218588432605,155.7076171875,155.69689530234584,0.010721885154168831,0.9999999999999996,0.0004882812499999999,1.9999999999999691,2.6168207644729593e-15,0.00048828125,-1,3,,,0.02209708691207961,4.852171327754337,4.852171327754337,0.0,0.26792232089408385,0.08478954323636528,0.0,,,-0.0,-1.0,-0.0,0.0,0.0,125.0,0,0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
4,2019-06-21,01:06:06,155.75,155.78125,155.6875,155.78125,317,49369.0625,155.73836750788644,0.03125,0.00020062192864944706,155.73049038871267,155.7148368865703,0.0156535021423565,0.9999999999999996,0.0001953124999999999,4.999999999999986,-2.2360679774997894,0.0001953125,-1,4,,,0.013975424859373685,11.200734360399274,11.200734360399274,0.0,0.26792232089408385,0.7818256658122971,1.0,,,0.0,-1.0,-0.0,0.0,0.0,156.25,0,0,0.0,-0.0,-0.0,0.0,1.0,0.0,0.0,0.0,-0.0,-0.0
5,2019-06-21,01:29:40,155.78125,155.8125,155.75,155.78125,317,49385.25,155.78943217665616,0.0,0.0,155.74497739806475,155.72678821527848,0.018189182786272795,1.0000000000000002,0.001171875,2.916666666666662,1.2932338163316435,0.001171875,0,5,,,0.03423265984407288,5.313400381134016,5.313400381134016,0.0,0.26792232089408385,0.135429870714251,0.0,,,1.0,-1.0,0.0,0.0,0.0,156.25,0,0,1.0,0.0,0.0,0.0,-1.0,1.0,2.5,-2.5,-2.5,-0.0
6,2019-06-21,01:46:38,155.78125,155.84375,155.75,155.8125,317,49385.9375,155.79160094637223,0.03125,0.00020058168756520445,155.76310339869974,155.7402100811751,0.022893317524648182,1.0000000000000002,0.0046875,1.7447916666666667,-0.846307423922913,0.0046875,-1,6,,,0.06846531968814576,3.343783046500838,3.343783046500838,0.0,0.26792232089408385,-0.08082291323567481,0.0,,,0.0,-1.0,1.0,1.0,1.0,31.25,0,0,0.0,1.0,31.25,31.25,0.0,1.0,5.0,26.25,28.75,28.75
7,2019-06-21,02:00:15,155.8125,155.90625,155.8125,155.90625,317,49415.40625,155.88456230283913,0.09375,0.0006015037775339849,155.79983250259107,155.7633048943887,0.03652760820236267,1.0,0.005175781249999999,1.128515485938055,-1.032658539398995,0.00517578125,-1,7,,,0.07194290270763336,5.077305311241909,5.077305311241909,0.0,0.26792232089408385,0.10950797449448141,0.0,,,0.0,-1.0,0.0,0.0,1.0,125.0,0,0,0.0,0.0,0.0,31.25,0.0,0.0,5.0,26.25,0.0,28.75
8,2019-06-21,02:21:24,155.90625,155.96875,155.78125,155.8125,317,49412.0,155.87381703470032,-0.09375,-0.0006015037775339849,155.80297480313894,155.76947876622825,0.03349603691069092,1.0,0.005175781249999999,1.128515485938055,-1.032658539398995,0.00517578125,0,8,,,0.07194290270763336,4.655919576502838,4.655919576502838,0.0,0.26792232089408385,0.06324221685121806,0.0,,,0.0,-1.0,0.0,0.0,1.0,31.25,0,0,0.0,0.0,-0.0,31.25,0.0,0.0,5.0,26.25,-0.0,-0.0
9,2019-06-21,02:51:59,155.8125,155.875,155.78125,155.875,317,49396.125,155.823738170347,0.0625,0.0004010427164233832,155.82039137292955,155.78157552908513,0.03881584384441794,1.0000000000000004,0.005175781250000001,0.2741189035243856,-0.6064819993295688,0.00517578125,-1,9,,,0.07194290270763336,5.395368046541089,5.395368046541089,0.0,0.26792232089408385,0.14442945430161663,0.0,,,0.0,-1.0,0.0,0.0,1.0,93.75,0,0,0.0,0.0,0.0,31.25,0.0,0.0,5.0,26.25,0.0,0.0
